Track Name,Artist,Album,Popularity,Duration (min),Added Date
The Wedding Song,Reneé Rapp,Snow Angel,53,3.06,9/6/2024
Uncomfortable,Wallows,Uncomfortable,57,4.9,9/4/2024
You Know Me Too Well,Nothing But Thieves,What Did You Think When You Made Me This Way?,55,3.89,9/4/2024
See You In The Afterlife,Foster The People,Paradise State of Mind,49,3.15,8/26/2024
so american,Olivia Rodrigo,GUTS (spilled),74,2.83,8/19/2024
GIRLZ,INJI,GIRLZ,29,2.36,8/19/2024
OBVIOUS,Fordo,OBVIOUS,49,3.18,8/19/2024
SPIT IN MY FACE!,ThxSoMch,SPIT IN MY FACE!,77,2.46,8/14/2024
NIGHTS LIKE THIS,The Kid LAROI,THE FIRST TIME,86,1.45,8/14/2024
Gata Only,FloyyMenor & Cris MJ,Gata Only,85,3.7,8/14/2024
Islands (kompa pasión),фрози & Tomo,Islands (kompa pasión),68,2.11,8/14/2024
My Body - 2020 Remaster,Young the Giant,Young The Giant (10th Anniversary Edition),59,4.07,8/13/2024
Nothing's Gonna Hurt You Baby,Cigarettes After Sex,I.,10,4.77,8/13/2024
Dance Dance,Cage The Elephant,Social Cues,45,3.17,8/13/2024
For Cryin' Out Loud!,FINNEAS,For Cryin' Out Loud!,1,3.62,8/12/2024
TRASTEVERE,Måneskin,RUSH! (ARE U COMING?),59,3.04,8/4/2024
Moral Panic,Nothing But Thieves,Moral Panic,44,3.67,7/29/2024
Come a Little Closer,Cage The Elephant,Melophobia,75,3.82,7/29/2024
15 MINUTES,Madison Beer,15 MINUTES,61,3.15,7/25/2024
Blowing Smoke,Gracie Abrams,The Secret of Us,63,3.87,7/8/2024
Felt Good About You,Gracie Abrams,The Secret of Us,55,2.74,7/8/2024
Risk,Gracie Abrams,The Secret of Us,65,3.19,7/8/2024
Best Friend,NoMBe,Best Friend,25,3.01,7/2/2024
super8,Tiger La Flor,super8,31,3.73,7/1/2024
brown eyes*,re6ce,brown eyes*,55,2.72,7/1/2024
"Girl, so confusing featuring lorde",Charli xcx & Lorde,"Girl, so confusing featuring lorde",61,3.43,7/1/2024
Sympathy is a knife,Charli xcx,Brat and it’s the same but there’s three more songs so it’s not,42,2.52,7/1/2024
Tough Love,Gracie Abrams,The Secret of Us,67,2.82,6/22/2024
G.U.Y.,Lady Gaga,ARTPOP,68,3.88,6/20/2024
Walk Like This,FLO,Walk Like This (Strut Speed),37,3.29,6/20/2024
AFFECTION,Chrissy Chlapecka,AFFECTION,50,2.72,6/20/2024
Close To You,Gracie Abrams,Close To You,2,3.77,6/20/2024
Whoops,Meghan Trainor,Timeless,56,2.48,6/19/2024
Witchy (feat. Childish Gambino),KAYTRANADA & Childish Gambino,TIMELESS,67,3.78,6/13/2024
L’AMOUR DE MA VIE [OVER NOW EXTENDED EDIT],Billie Eilish,L’AMOUR DE MA VIE [OVER NOW EXTENDED EDIT],67,4.53,6/13/2024
Close To You,Gracie Abrams,The Secret of Us,50,3.77,6/10/2024
tehe,Gracie Abrams,minor,52,2.71,6/8/2024
Carbon Monoxide,Krooked Kings & Day Wave,All Out of Good Days,35,3.18,6/4/2024
Grass Stains,Chloe George,Grass Stains,50,3.03,6/4/2024
Normalcy,Gigi Perez,Normalcy,50,5.64,6/4/2024
Insane,Sky McCreery,Insane,50,2.77,6/4/2024
Cedar,Gracie Abrams,The Buccaneers: Season 1 (Apple TV+ Original Series Soundtrack),60,4.21,6/2/2024
Better,Gracie Abrams,This Is What It Feels Like,58,2.85,6/2/2024
Mean It,Gracie Abrams,Mean It,59,2.85,6/2/2024
Unlearn (with Gracie Abrams),benny blanco & Gracie Abrams,Unlearn (with Gracie Abrams),55,2.59,6/2/2024
Alright,Gracie Abrams,This Is What It Feels Like,53,2.41,6/1/2024
Long Sleeves,Gracie Abrams,minor,61,3.64,6/1/2024
I know it won't work,Gracie Abrams,Good Riddance (Deluxe),76,4.09,6/1/2024
Difficult,Gracie Abrams,Good Riddance (Deluxe),62,4.32,6/1/2024
Wishful Thinking,Gracie Abrams,This Is What It Feels Like,55,2.68,6/1/2024
Feels Like,Gracie Abrams,This Is What It Feels Like,73,2.54,6/1/2024
Best,Gracie Abrams,Good Riddance (Deluxe),69,3.89,6/1/2024
Under / Over,Gracie Abrams,minor,55,2.36,6/1/2024
Block me out,Gracie Abrams,Block me out,54,4.16,6/1/2024
Stay,Gracie Abrams,Stay,68,2.95,6/1/2024
I should hate you,Gracie Abrams,Good Riddance (Deluxe),63,4.32,6/1/2024
Brush Fire,Gracie Abrams,Brush Fire,55,3.17,6/1/2024
Two people,Gracie Abrams,Good Riddance (Deluxe),57,4.22,5/30/2024
Pillow In My Arms,Griff,ver2igo vol. 2,38,3.27,5/30/2024
Friend,Gracie Abrams,minor,63,2.95,5/30/2024
I Guess,Lizzy McAlpine,Older,53,3.74,5/30/2024
Hey Girl,Stephen Sanchez,Easy On My Eyes,60,3.1,5/30/2024
"Everywhere, Everything (with Gracie Abrams)",Noah Kahan & Gracie Abrams,Stick Season (Forever),73,4.29,5/29/2024
Shakes,Luke Hemmings,boy,45,3.24,5/29/2024
Disaster,Conan Gray,Superache,60,2.55,5/29/2024
Hole In My Pocket,Griff,ver2igo vol. 2,23,2.67,5/29/2024
Drive over me,BETWEEN FRIENDS,garage sale,42,2.74,5/29/2024
Happy For You,Dua Lipa,Radical Optimism,64,4.09,5/29/2024
Where do we go now?,Gracie Abrams,Good Riddance (Deluxe),67,4.06,5/28/2024
Cruise Control,Lyn Lapid & Whethan,Cruise Control,46,2.59,5/28/2024
You (Show Me Where My Days Went),Wallows,Model,54,2.79,5/28/2024
Antichrist,Holly Humberstone & Tiny Habits,Cocoon,26,3.5,5/25/2024
French Exit,Dua Lipa,Radical Optimism,58,3.35,5/23/2024
laundry detergent,Lexie Carroll,laundry detergent,14,2.98,5/23/2024
This is what the drugs are for,Gracie Abrams,Good Riddance (Deluxe),60,4.09,5/22/2024
Promises,Luke Hemmings,boy,43,4.52,5/22/2024
as good a reason,Paris Paloma,as good a reason,49,2.83,5/22/2024
How It Ends,Charlotte Lawrence,How It Ends,29,2.92,5/22/2024
Love Me Anyway,Chappell Roan,Love Me Anyway,67,3.89,5/22/2024
Whatcha Doing,Dua Lipa,Radical Optimism,66,3.3,5/22/2024
For Real This Time,Gracie Abrams,This Is What It Feels Like,62,3.23,5/22/2024
Burton St.,OSTON,Burton St.,45,3.27,5/22/2024
bleachers,Haiden Henderson,bleachers,52,2.61,5/22/2024
The Bottom,Gracie Abrams,This Is What It Feels Like,59,3.01,5/22/2024
obsessed,Olivia Rodrigo,GUTS (spilled),75,2.84,5/22/2024
Vertigo,Griff,Vertigo,48,3,5/19/2024
What You Heard,Sonder,What You Heard,78,3.97,5/19/2024
Sure Thing,Miguel,All I Want Is You,84,3.26,5/19/2024
Benny,Luke Hemmings,boy,45,2.87,5/18/2024
Red Wine Supernova,Chappell Roan,The Rise and Fall of a Midwest Princess,80,3.21,5/17/2024
The Other Side,Stephen Sanchez,Angel Face (Club Deluxe),57,3.28,5/16/2024
Keep It Up,Good Neighbours,Keep It Up,50,2.61,5/16/2024
17,Madison Beer,Silence Between Songs,51,3.62,5/16/2024
De Selby (Part 2),Hozier,Unreal Unearth,58,3.8,5/16/2024
Silence Between Songs,Madison Beer,Silence Between Songs,50,2.49,5/16/2024
Risk,Gracie Abrams,Risk,2,3.19,5/16/2024
Really good cry,BETWEEN FRIENDS,Really good cry,40,1.92,5/16/2024
Blood Orange Wine,Stela Cole,Blood Orange Wine,32,2.76,5/16/2024
360,Charli xcx,360,54,2.23,5/16/2024
WHAT THE HELL,jxdn,WHAT THE HELL,39,2.88,5/16/2024
Block Out The Noise,DAYTIME TV,Block Out The Noise,27,2.35,5/15/2024
Toro,Remi Wolf,Toro / Alone in Miami,50,2.93,5/15/2024
Sweet Paranoia,Owen Coleman,Sweet Paranoia,36,3.27,5/15/2024
Ways To Go (feat. Khalid),Alec Benjamin & Khalid,12 Notes,43,2.58,5/15/2024
Flatline,HIMALAYAS,From Hell to Here,41,2.42,5/15/2024
Somebody Else,HIMALAYAS,From Hell to Here,40,2.92,5/15/2024
Planet,Aidan Bissett,How’s It Gonna End? Tour Setlist,50,3.11,5/15/2024
Claw Foot,Royel Otis,PRATTS & PAIN,50,2.78,5/15/2024
Want Me,Stephen Dawes,Want Me,43,2.72,5/15/2024
Ottawa Rockstar,WHALES•TALK,Ottawa Rockstar,47,2.27,5/15/2024
V.O.V,HIMALAYAS,V.O.V,28,3.16,5/15/2024
PRETTY PLEASE,Dutch Melrose & benny mayne,PRETTY PLEASE,71,2.78,5/15/2024
Time :: Fate :: Karma :: God,Nothing But Thieves,Dead Club City (Deluxe),1,3.06,5/15/2024
is it too late?,almost monday,is it too late?,33,2.65,5/15/2024
DON'T,Ari Abdul,DON'T,48,2.16,5/15/2024
Killing Me,Conan Gray,Found Heaven,54,3.41,5/15/2024
Heal,Tom Odell,Long Way Down (Deluxe),75,3.22,5/14/2024
deja vu,Olivia Rodrigo,SOUR,85,3.59,5/12/2024
Losing Myself to You,Arbor,Tight Spaces / Dark Places,17,3.15,5/11/2024
Out of Body,ufo ufo,Out of Body,50,2.77,5/11/2024
Fainted Love,Conan Gray,Found Heaven,58,2.85,5/10/2024
Super Graphic Ultra Modern Girl,Chappell Roan,The Rise and Fall of a Midwest Princess,69,3.06,5/10/2024
MILLION DOLLAR BABY (VHS),Tommy Richman,MILLION DOLLAR BABY,1,2.59,5/10/2024
Woman,Doja Cat,Planet Her,82,2.88,5/10/2024
Be Someone,Benson Boone,Fireworks & Rollerblades,67,3.75,5/10/2024
HOT TO GO!,Chappell Roan,The Rise and Fall of a Midwest Princess,77,3.08,5/10/2024
Run Your Mouth,The Marías,Run Your Mouth,50,2.67,5/10/2024
Creatures in Heaven,Glass Animals,Creatures In Heaven,58,3.69,5/10/2024
Pink + White,Frank Ocean,Blonde,86,3.08,5/9/2024
"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",89,3.64,5/9/2024
EGO,Josh Levi,EGO,48,2.5,5/2/2024
Bleeding Out,Chance Peña,Bleeding Out,61,3.48,4/30/2024
Better,sign crushes motorist,i'll be okay,63,1.65,4/23/2024
Relax,Vacations,Vibes,67,2.64,4/23/2024
Dark Vacay,Cigarettes After Sex,Dark Vacay,2,3.56,4/23/2024
summer depression,girl in red,summer depression,62,2.53,4/23/2024
Vampire Disco,Friday Pilots Club,Nothing Or Forever,50,3.12,4/21/2024
Cannonball,Emily James,Cannonball,35,2.72,4/19/2024
Midnight,Rhys Lewis,Corner Of The Sky,35,3.8,4/19/2024
LIE NO MORE,Josh Levi,DISC ONE,35,3.04,4/15/2024
VICES,Josh Levi,DISC TWO,45,3.06,4/15/2024
DON'T THEY (REMIX) [feat. Normani],Josh Levi & Normani,DON'T THEY (REMIX) [feat. Normani],45,3.3,4/13/2024
TEXAS BLUE,Quadeca & Kevin Abstract,SCRAPYARD,50,5.4,4/13/2024
Years,Astrid S,Down Low,50,3.17,4/11/2024
Home,Good Neighbours,Home,6,2.62,4/4/2024
Miss Me Too,Griff,Miss Me Too,44,3.03,4/4/2024
Von dutch,Charli xcx,Von dutch,56,2.74,4/4/2024
Nothing Matters,The Last Dinner Party,Prelude to Ecstasy,70,3.04,4/4/2024
Slow It Down,Benson Boone,Slow It Down,69,2.7,4/4/2024
Faded Friends,BIRDEE 王煒,On My Own,18,3.19,3/30/2024
Coffee Cake,Benson Boone,PULSE,63,3.11,3/30/2024
I Can't Be Your Friend,Aidan Bissett,I'm Alright If You're Ok,37,2.87,3/30/2024
Tripping Over Air,Aidan Bissett,Tripping Over Air,58,3.04,3/30/2024
Lovers to Strangers,Chance Peña,Lovers to Strangers,49,2.9,3/30/2024
that was quick!,Alfie Jukes,that was quick!,30,2.77,3/30/2024
Tote Bag,Alfie Jukes,Tote Bag,24,3.04,3/30/2024
Traffic Jams,Alfie Jukes,Traffic Jams,42,3.19,3/30/2024
Cigarette,Alfie Jukes,Little Omens EP,54,3.41,3/30/2024
Dirt,LÉON,Dirt,40,3.65,3/29/2024
Calling After Me,Wallows,Calling After Me,58,3.13,3/25/2024
Age Of Man,Greta Van Fleet,Anthem Of The Peaceful Army,54,6.1,3/18/2024
Meeting The Master,Greta Van Fleet,Starcatcher,52,5.2,3/18/2024
You're The One,Greta Van Fleet,Anthem Of The Peaceful Army,62,4.45,3/18/2024
Black Smoke Rising,Greta Van Fleet,From The Fires,66,4.33,3/18/2024
Light My Love,Greta Van Fleet,The Battle at Garden’s Gate,63,4.51,3/18/2024
The Falling Sky,Greta Van Fleet,Starcatcher,50,3.65,3/18/2024
Farewell For Now,Greta Van Fleet,Starcatcher,40,4.48,3/18/2024
Waited All Your Life,Greta Van Fleet,Starcatcher,46,4.44,3/18/2024
DEEP IN THE WATER,Don Toliver,Deep in the Water,55,2.84,3/14/2024
She Wants My Money,Dominic Fike,"Don't Forget About Me, Demos",61,2.23,3/14/2024
Son of a Gun,Reignwolf,Hear Me Out,50,3.47,3/14/2024
The Masquerade,HIMALAYAS,The Masquerade,41,3.32,3/13/2024
Honey Whiskey,Nothing But Thieves,Nothing But Thieves (Track by Track),45,3.2,3/13/2024
SWAYZEE,WHALES•TALK,SWAYZEE,47,3,3/13/2024
Love Me Instead,Saint Blonde,Love Me Instead,41,2.87,3/13/2024
Breaking My Bones,Friday Pilots Club,Friday Pilots Club,45,4.07,3/13/2024
only wanna dance,almost monday,only wanna dance,55,2.41,3/13/2024
I'M STARTING A CULT,Fuller,I'M STARTING A CULT,13,2.82,3/13/2024
The Fever,Foreign Figures,Overzealous - EP,50,3.09,3/13/2024
I Was Just a Kid,Nothing But Thieves,Broken Machine (Deluxe),52,4.51,3/13/2024
Alone,HIMALAYAS,From Hell to Here,44,2.63,3/13/2024
She Doesn't Get It,Rec Hall,She Doesn't Get It,52,3.52,3/13/2024
Little Bastards,Palaye Royale,The Bastards,55,3.64,3/13/2024
Love You Better,The Haunt,Love You Better,45,3.94,3/13/2024
From Hell to Here,HIMALAYAS,From Hell to Here,48,2.94,3/13/2024
Coil,Saint Blonde,Coil,40,3.29,3/13/2024
Play My Favourite Song,Tigercub,The Perfume of Decay,36,2.59,3/13/2024
White Noise Boys,Airways,Starting to Spin,40,3.59,3/13/2024
Spectator,Friday Pilots Club,Spectator,50,3.05,3/13/2024
Your Touch,Foreign Air,Hello Sunshine,49,3.75,3/13/2024
Bodies,Bryce Fox,Strength,45,2.38,3/13/2024
Would You Mind,Friday Pilots Club,Would You Mind,45,4.1,3/13/2024
Tonight You Are Mine,The Technicolors,Ultraviolet Disguise (Deluxe Edition),61,3.83,3/13/2024
Strangers,Fizzy Blood,Strangers,47,3.42,3/12/2024
Fire Escape,Call Me Karizma,To Hell With Hollywood,50,1.86,3/12/2024
Ms. Supernova,Friday Pilots Club,Life Support / Ms. Supernova,37,3.69,3/12/2024
Chit Chat,Beach Weather,Chit Chat,55,3.34,3/12/2024
Letter in a Suitcase,Anarbor,Love & Drugs,46,2.51,3/12/2024
Blue Gasoline,Airways,Blue Gasoline,44,3.28,3/12/2024
Out of the Dark and Into the Light,HIMALAYAS,From Hell to Here,36,3,3/12/2024
Follow You Down,Vistas,Follow You Down,32,2.27,3/12/2024
Change For You,Friday Pilots Club,Friday Pilots Club,41,3.3,3/12/2024
i don't mind,Motherfolk,the bee,39,2.94,3/12/2024
Look Better In Gold,Friday Pilots Club,Friday Pilots Club,38,3.42,3/12/2024
End of It,Friday Pilots Club,End of It,59,3.49,3/12/2024
Never Say No,Friday Pilots Club,Never Say No,33,4.37,3/12/2024
Plastic,Life After Youth,Plastic,28,3.39,3/12/2024
Poison or Patience (feat. OSTON),Friday Pilots Club & OSTON,"I LOVE YOU, ROBOT SUPERSTAR!",44,2.95,3/12/2024
Greenroom,Good Boy Daisy,Greenroom,50,2.77,3/12/2024
skins,The Haunting,GHOSTAPE2,47,3.2,3/12/2024
Last Night I Watched Myself Sleep and I Saw Things That I Wish I Could Forget,Aurora View,Last Night I Watched Myself Sleep and I Saw Things That I Wish I Could Forget,34,3.38,3/12/2024
Sick,Dominic Fike,Sunburn,56,2.35,3/12/2024
Think Fast (feat. Weezer),Dominic Fike & Weezer,Sunburn,62,3.71,3/12/2024
Ant Pile,Dominic Fike,Sunburn,55,2.1,3/12/2024
Tidal Wave,Tom Misch & Yussef Dayes,What Kinda Music,60,4.16,3/12/2024
End of Beginning,Djo,DECIDE,89,2.65,3/4/2024
Figure You Out,Djo,DECIDE,55,3.07,3/4/2024
Fool,Djo,DECIDE,53,1.91,3/4/2024
Personal Lies,Djo,Twenty Twenty,54,4.99,3/4/2024
Mortal Projections,Djo,Twenty Twenty,51,3.13,3/4/2024
Keep Your Head Up,Djo,Keep Your Head Up,48,3.62,3/4/2024
Change,Djo,DECIDE,58,2.96,3/4/2024
Scrawny,Wallows,Nothing Happens,65,2.78,3/4/2024
Your Apartment,Wallows,Your Apartment,47,3.31,3/4/2024
Gloom,Djo,DECIDE,55,2.01,3/2/2024
"Sex, Drugs, Etc.",Beach Weather,Pineapple Sunrise,80,3.28,3/2/2024
Leave Her,d4vd,Withering,62,2.74,3/2/2024
.,girl in red,if i could make it go quiet,61,2.77,3/2/2024
Remember When,Wallows,Nothing Happens,70,2.59,3/2/2024
ballad of a homeschooled girl,Olivia Rodrigo,GUTS,70,3.39,3/2/2024
People Watching,Conan Gray,Superache,71,2.64,3/2/2024
affection,BETWEEN FRIENDS,we just need some time together,4,3.92,3/2/2024
How Much Is Weed?,Dominic Fike,Sunburn,66,2.08,3/2/2024
OMG,Suki Waterhouse,OMG,49,2.98,3/2/2024
Pleasure delayer,BETWEEN FRIENDS,Pleasure delayer,43,2.4,3/2/2024
hospital beach,Cottonwood Firing Squad,you missed the best part,58,2.08,3/2/2024
Oysters In My Pocket,Royel Otis,Oysters In My Pocket,76,2.71,3/2/2024
Eyes on my baby,BETWEEN FRIENDS,Eyes on my baby,58,2.21,3/2/2024
From the Subway Train,Vansire,Angel Youth,65,0.96,3/2/2024
Saturn,SZA,Saturn,78,3.1,3/2/2024
Too Much,girl in red,Too Much,49,3.06,3/2/2024
Beanie,Chezile,Beanie,50,2.2,3/2/2024
touch tank,quinnie,flounder,61,2.99,3/2/2024
pretty isn’t pretty,Olivia Rodrigo,GUTS,77,3.32,3/2/2024
Babydoll,Dominic Fike,"Don't Forget About Me, Demos",79,1.63,3/2/2024
Real Love Baby,Father John Misty,Real Love Baby,50,3.15,3/2/2024
WORTHLESS,d4vd,Petals to Thorns,65,2.72,2/29/2024
Spinnin,Madison Beer,Silence Between Songs,54,2.78,2/25/2024
Serious,NERIAH,Cause of Death (Deluxe),16,2,2/25/2024
Bejeweled,Taylor Swift,Midnights,73,3.24,2/13/2024
Lonely Dancers,Conan Gray,Lonely Dancers,1,2.48,2/12/2024
trust her more,Johnny Orlando,all the things that could go wrong (Deluxe),29,2.55,2/11/2024
Colorado,Reneé Rapp,Everything To Everyone,59,2.88,2/11/2024
July,Johnny Orlando,The Ride: Part 1,30,3.01,2/11/2024
Make You Mine,Madison Beer,Make You Mine,76,3.7,2/9/2024
Ultima,Irina Rimes,Ultima,41,2.91,2/2/2024
Oh No :: He Said What?,Nothing But Thieves,Oh No :: He Said What?,46,3.8,1/30/2024
Black Friday,Tom Odell,Black Friday,72,3.69,1/30/2024
The King Has Lost His Crown,ABBA,Voulez-Vous,42,3.54,1/29/2024
Elephant,Tame Impala,Lonerism,71,3.52,1/26/2024
One Night/All Night,Justice & Tame Impala,One Night/All Night,52,4.6,1/24/2024
Left Hand Free,alt-J,This Is All Yours,68,2.89,1/22/2024
Interstelar,Alexia,Interstelar,50,3.38,1/19/2024
Eventually,Tame Impala,Currents,76,5.31,1/17/2024
Let It Happen,Tame Impala,Currents,81,7.79,1/17/2024
"New Person, Same Old Mistakes",Tame Impala,Currents,80,6.05,1/17/2024
You Can't Save Me,SiR,Chasing Summer,59,2.92,1/2/2024
Ooh Nah Nah (feat. Masego),SiR & Masego,Ooh Nah Nah (feat. Masego),61,4,1/2/2024
Satisfaction,SiR,Satisfaction,50,2.18,1/2/2024
Old Age,Masego & SiR,Lady Lady,51,2.37,1/2/2024
Nothing Even Matters,SiR,Nothing Even Matters,50,3.65,1/2/2024
Hair Down,SiR & Kendrick Lamar,Chasing Summer,63,3.62,1/2/2024
Right Down the Line,Gerry Rafferty,City to City,76,4.46,1/1/2024
Love Is A Long Road,Tom Petty,Full Moon Fever,66,4.13,12/30/2023
John Redcorn,SiR,Chasing Summer,64,3.13,12/30/2023
The Recipe,SiR,Chasing Summer,56,2.97,12/30/2023
Winter Things,Ariana Grande,Christmas & Chill,53,2.65,12/30/2023
we're not alike,Tate McRae,THINK LATER,71,3.01,12/13/2023
want that too,Tate McRae,THINK LATER,62,3.17,12/9/2023
guilty conscience,Tate McRae,THINK LATER,76,2.53,12/8/2023
think later,Tate McRae,THINK LATER,69,2.23,12/8/2023
run for the hills,Tate McRae,THINK LATER,82,2.4,12/8/2023
White Glove,Dove Cameron,Alchemical: Volume 1,46,2.51,12/1/2023
Breakfast,Dove Cameron,Alchemical: Volume 1,62,2.47,12/1/2023
Lethal Woman,Dove Cameron,Alchemical: Volume 1,48,2.1,12/1/2023
You’re Losing Me (From The Vault),Taylor Swift,You're Losing Me (From The Vault),77,4.63,11/29/2023
The Hardest Part,Olivia Dean,Messy,81,2.93,11/28/2023
Houdini,Dua Lipa,Houdini,14,3.1,11/27/2023
Other Boys,Marshmello & Dove Cameron,Other Boys,52,2.28,11/24/2023
Fantasize,Underground,Fantasize,56,3.28,11/24/2023
MIDNIGHT OIL,Elley Duhé & Whethan,PHOENIX,37,2.99,11/23/2023
Home To Another One,Madison Beer,Silence Between Songs,55,2.49,11/23/2023
Mother Nature,RAYE & Hans Zimmer,Mother Nature,41,3.93,11/23/2023
Sand,Dove Cameron,Sand,47,3.66,11/23/2023
We're Good,Dua Lipa,Future Nostalgia (The Moonlight Edition),68,2.76,11/23/2023
bad idea right?,Olivia Rodrigo,GUTS,77,3.08,11/23/2023
Showed Me (How I Fell In Love With You),Madison Beer,Silence Between Songs,52,3.26,11/23/2023
Beg for You (feat. Rina Sawayama),Charli xcx & Rina Sawayama,CRASH,54,2.8,11/23/2023
Coming Your Way (with Anne-Marie & Becky G),Michaël Brun & Anne-Marie & Becky G,Coming Your Way (with Anne-Marie & Becky G),43,2.42,11/23/2023
Yes or No,Jung Kook,GOLDEN,76,2.46,11/23/2023
Killing Me,Conan Gray,Killing Me,48,3.42,11/23/2023
TALK!,Elley Duhé,PHOENIX,35,2.63,11/23/2023
No One Dies From Love,Tove Lo,Dirt Femme,50,3.1,11/23/2023
Black Dress,070 Shake,Black Dress,44,3.96,11/23/2023
I'll Be There,Robin Schulz & Rita Ora & Tiago PZK,I'll Be There,54,2.78,11/23/2023
Padam Padam,Kylie Minogue,Tension (Deluxe),68,2.77,11/23/2023
Something On My Mind,Purple Disco Machine & Duke Dumont & Nothing But Thieves,Something On My Mind,56,3.61,11/23/2023
Can't Tame Her,Zara Larsson,Can't Tame Her,61,3.28,11/22/2023
Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo,The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),73,3.42,11/22/2023
Sweet Relief,Madison Beer,Silence Between Songs,57,2.7,11/22/2023
Love Like This,ZAYN,Love Like This,57,2.89,11/22/2023
Lose Control,Teddy Swims,I've Tried Everything But Therapy (Part 1),88,3.51,11/22/2023
Boys Will Be Boys,Dua Lipa,Future Nostalgia,54,2.77,11/22/2023
Elevator Eyes,Tove Lo,Dirt Femme (Extended Cut),44,2.97,11/22/2023
know that you're not alone,Cat Burns,know that you're not alone,46,2.94,11/22/2023
VALENTINE,Måneskin,RUSH! (ARE U COMING?),64,3.62,11/22/2023
club heaven,Nessa Barrett,club heaven,52,2.2,11/22/2023
exes,Tate McRae,exes,5,2.66,11/16/2023
Poison,Alice Cooper,Trash,74,4.5,11/15/2023
You Give Love A Bad Name,Bon Jovi,Slippery When Wet,76,3.71,11/14/2023
Blood Sugar - Original Mix,Pendulum,Hold Your Colour,50,5.26,11/14/2023
YMCA - Original Version 1978,Village People,YMCA,70,4.78,11/14/2023
Chelsea Dagger,The Fratellis,Costello Music,48,3.59,11/14/2023
To Love Someone,Benson Boone,To Love Someone,70,3.27,11/11/2023
forever&more,ROLE MODEL,Rx,57,2.94,11/9/2023
One Of Your Girls,Troye Sivan,Something To Give Each Other,73,3.02,11/2/2023
I Love Rock 'N Roll,Joan Jett & the Blackhearts,I Love Rock 'N' Roll (Expanded Edition),77,2.92,10/31/2023
One Way Or Another,Blondie,Greatest Hits: Blondie,50,3.47,10/31/2023
Conga,Gloria Estefan & Miami Sound Machine,Exitos de gloria estefan,56,4.25,10/31/2023
Last Resort,Papa Roach,Infest,82,3.33,10/31/2023
Smooth (feat. Rob Thomas),Santana & Rob Thomas,Supernatural (Remastered),71,4.92,10/31/2023
All Star,Smash Mouth,Astro Lounge,78,3.34,10/31/2023
The Kids Aren't Alright,The Offspring,Americana,82,3,10/31/2023
Rose Tattoo,Dropkick Murphys,Signed and Sealed In Blood,53,5.11,10/31/2023
Seven Nation Army,The White Stripes,Elephant,83,3.87,10/31/2023
Are You Gonna Go My Way,Lenny Kravitz,Are You Gonna Go My Way,73,3.53,10/31/2023
Butterfly,Crazy Town,Scream,19,3.63,10/31/2023
Paradise City,Guns N' Roses,Appetite For Destruction,10,6.76,10/31/2023
Sex on Fire,Kings of Leon,Only By The Night,82,3.39,10/31/2023
You Know I'm No Good,Amy Winehouse,Back To Black,50,4.28,10/31/2023
Should I Stay or Should I Go - Remastered,The Clash,Combat Rock (Remastered),79,3.15,10/31/2023
Money For Nothing,Dire Straits,Brothers In Arms,2,8.52,10/31/2023
Arde,Parazitii & Câinele,Tot Ce E Bun Tre Să Dispară,42,3.81,10/31/2023
Voodoo People - Pendulum Mix,The Prodigy & Pendulum,Their Law The Singles 1990 - 2005,51,5.13,10/31/2023
Narcotic - Radio Edit,Liquido,Narcotic,71,3.94,10/31/2023
Same Color as the Sun,flor,Same Color as the Sun,42,3.3,10/30/2023
W.I.T.C.H.,Devon Cole,W.I.T.C.H.,61,2.2,10/30/2023
Rebel Child,Dylan,Rebel Child,41,3.37,10/30/2023
Pentru ca,Andia & Deliric,Pentru ca,47,3.2,10/14/2023
RUNAWAY,OneRepublic,RUNAWAY,63,2.39,10/13/2023
You're Not Harry Styles,Dylan,No Romeo EP,42,2.94,10/13/2023
Chemical,Post Malone,Chemical,74,3.07,10/12/2023
Fake As Hell (with Avril Lavigne),All Time Low & Avril Lavigne,Fake As Hell (with Avril Lavigne),57,2.99,10/11/2023
Mirage - for Assassin's Creed Mirage,OneRepublic & Assassin's Creed & Mishaal Tamer,Mirage (for Assassin's Creed Mirage),54,2.22,10/11/2023
Shotgun (It Ain't Over),Hardwell & Bright Lights,Shotgun (It Ain't Over),43,2.6,10/6/2023
Call Your Name - Andromedik Remix,Alesso & John Newman & Andromedik,Call Your Name (Remixes),38,2.68,10/6/2023
Power is Power (feat. The Weeknd & Travis Scott),SZA & The Weeknd & Travis Scott & Game of Thrones,For The Throne (Music Inspired by the HBO Series Game of Thrones),60,3.52,10/6/2023
Bam Bam Bam,Berechet,Bam Bam Bam,31,2,10/1/2023
The Letter,Jann,The Letter,32,4.22,9/21/2023
i saw you in a dream,The Japanese House,Good at Falling,48,3.34,9/18/2023
Darkest Hour - from the Amazon Original Series PANIC,Tate McRae,Darkest Hour (from the Amazon Original Series PANIC),43,2.69,9/17/2023
slower,Tate McRae,slower,50,3.13,9/17/2023
r u ok,Tate McRae,r u ok,50,3.1,9/17/2023
vicious,Tate McRae,vicious,61,3.05,9/17/2023
